# Generated by SVM Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	kernel_type	C	degree	AUC
181.0	1.638960012594E12	dot	15.848931924611136	0.001	0.70239417989418
187.0	1.638960014224E12	polynomial	1.0	0.001	0.7627311333890281
193.0	1.638960014358E12	radial	15.848931924611136	0.001	0.5418922305764411
190.0	1.638960022427E12	polynomial	1.0	0.001	0.7471679197994987
194.0	1.638960045166E12	dot	3.9810717055349727	0.001	0.5961438318017266
197.0	1.638960046892E12	radial	3.9810717055349727	0.001	0.6909551656920079
192.0	1.638960047354E12	polynomial	15.848931924611136	0.06309573444801932	0.5977951824004456
172.0	1.638960049132E12	polynomial	1000.0	0.0039810717055349725	0.6605270119743805
195.0	1.638960050391E12	polynomial	15.848931924611136	0.001	0.7327979671400724
196.0	1.638960051052E12	dot	3.9810717055349727	0.001	0.7099902534113062
202.0	1.638960054304E12	radial	3.9810717055349727	0.001	0.7042286271233641
174.0	1.638960055743E12	polynomial	1000.0	0.25118864315095807	0.6624463937621833
178.0	1.6389600668E12	polynomial	251.1886431509581	0.0039810717055349725	0.701174463937622
200.0	1.638960067382E12	dot	1.0	0.0039810717055349725	0.7585505430242272
206.0	1.638960072541E12	radial	1.0	0.0039810717055349725	0.6953947368421053
182.0	1.638960081413E12	dot	251.1886431509581	0.0039810717055349725	0.6021442495126706
183.0	1.63896008256E12	polynomial	1000.0	0.06309573444801932	0.6193532442216652
204.0	1.638960084715E12	dot	1.0	0.25118864315095807	0.709067112225007
198.0	1.638960086048E12	polynomial	3.9810717055349727	0.001	0.7577548036758562
203.0	1.638960088851E12	polynomial	3.9810717055349727	0.001	0.7309196602617656
184.0	1.638960088926E12	polynomial	1000.0	0.001	0.6956091617933724
210.0	1.638960090787E12	radial	1.0	0.25118864315095807	0.7408865914786967
208.0	1.63896009585E12	radial	251.1886431509581	0.0039810717055349725	0.6349993038150934
212.0	1.63896009877E12	radial	3.9810717055349727	0.06309573444801932	0.7508507379560012
207.0	1.638960107677E12	polynomial	1.0	0.0039810717055349725	0.7478620161514898
209.0	1.63896011127E12	dot	1.0	0.06309573444801932	0.7544639376218324
218.0	1.638960112414E12	radial	1.0	0.06309573444801932	0.7341095795043163
189.0	1.638960112474E12	dot	251.1886431509581	0.25118864315095807	0.696880395433027
213.0	1.638960115167E12	dot	1.0	0.001	0.7186306042884991
220.0	1.638960116188E12	radial	251.1886431509581	0.25118864315095807	0.7146881091617934
221.0	1.638960118892E12	radial	1.0	0.001	0.7455583402951824
214.0	1.638960119724E12	polynomial	1.0	0.25118864315095807	0.751680590364801
216.0	1.638960132134E12	polynomial	3.9810717055349727	0.06309573444801932	0.7754859370648847
211.0	1.638960135068E12	dot	15.848931924611136	0.001	0.7032811194653301
226.0	1.638960136383E12	radial	15.848931924611136	0.001	0.7198269980506824
217.0	1.638960136638E12	dot	3.9810717055349727	0.0039810717055349725	0.7216938178780284
219.0	1.63896013762E12	polynomial	1.0	0.06309573444801932	0.7243713450292398
199.0	1.638960137846E12	dot	63.095734448019314	0.06309573444801932	0.7550730994152046
228.0	1.638960138238E12	radial	3.9810717055349727	0.0039810717055349725	0.6828585352269563
201.0	1.638960139888E12	dot	63.095734448019314	0.001	0.6792912837649681
230.0	1.638960139997E12	radial	63.095734448019314	0.06309573444801932	0.5600703146755779
232.0	1.638960141497E12	radial	63.095734448019314	0.001	0.5465862573099415
223.0	1.638960143622E12	polynomial	1.0	0.001	0.7945969089390144
224.0	1.638960149816E12	dot	3.9810717055349727	0.25118864315095807	0.6660839598997493
236.0	1.638960151453E12	radial	3.9810717055349727	0.25118864315095807	0.6666478696741855
229.0	1.638960158304E12	dot	3.9810717055349727	0.06309573444801932	0.7433166248955725
231.0	1.638960159292E12	polynomial	3.9810717055349727	0.0039810717055349725	0.6870788081314398
238.0	1.63896015986E12	radial	3.9810717055349727	0.06309573444801932	0.6987844611528822
225.0	1.638960160827E12	dot	15.848931924611136	0.06309573444801932	0.7190761626287943
241.0	1.638960162091E12	radial	15.848931924611136	0.06309573444801932	0.7303439153439154
235.0	1.638960162874E12	dot	3.9810717055349727	0.001	0.6918017265385686
243.0	1.638960164208E12	radial	3.9810717055349727	0.001	0.7578975215817322
227.0	1.638960166123E12	polynomial	15.848931924611136	0.001	0.7493532442216654
205.0	1.63896016892E12	dot	1000.0	0.0039810717055349725	0.6468121693121696
237.0	1.638960169651E12	polynomial	3.9810717055349727	0.25118864315095807	0.7205837510442775
246.0	1.638960170119E12	radial	1000.0	0.0039810717055349725	0.7410804789752159
240.0	1.638960175192E12	polynomial	3.9810717055349727	0.06309573444801932	0.794869813422445
215.0	1.638960180624E12	polynomial	251.1886431509581	0.0039810717055349725	0.6283138401559454
244.0	1.638960182441E12	polynomial	3.9810717055349727	0.001	0.760246449456976
239.0	1.638960183679E12	dot	15.848931924611136	0.0039810717055349725	0.6874206349206351
245.0	1.638960184632E12	dot	3.9810717055349727	0.25118864315095807	0.7106746031746033
252.0	1.638960184962E12	radial	15.848931924611136	0.0039810717055349725	0.7287385129490392
253.0	1.638960185834E12	radial	3.9810717055349727	0.25118864315095807	0.724576023391813
242.0	1.63896018836E12	polynomial	15.848931924611136	0.06309573444801932	0.7672820941241995
233.0	1.638960190379E12	polynomial	63.095734448019314	0.06309573444801932	0.7300863269284323
222.0	1.638960192951E12	polynomial	251.1886431509581	0.25118864315095807	0.6518817878028406
234.0	1.638960193086E12	polynomial	63.095734448019314	0.001	0.741492620439989
247.0	1.638960193624E12	dot	15.848931924611136	0.25118864315095807	0.6917474241158452
260.0	1.638960195037E12	radial	15.848931924611136	0.25118864315095807	0.718134224450014
249.0	1.638960201566E12	dot	15.848931924611136	0.06309573444801932	0.6689578111946533
255.0	1.638960204908E12	polynomial	3.9810717055349727	0.25118864315095807	0.7273663324979116
262.0	1.638960205152E12	radial	15.848931924611136	0.06309573444801932	0.7558980785296575
251.0	1.638960206786E12	dot	15.848931924611136	0.001	0.6907177666388193
265.0	1.638960209148E12	radial	15.848931924611136	0.001	0.7253982177666389
254.0	1.638960211284E12	polynomial	15.848931924611136	0.0039810717055349725	0.7740963519910891
261.0	1.638960221136E12	polynomial	15.848931924611136	0.25118864315095807	0.7232115009746589
263.0	1.638960231431E12	dot	15.848931924611136	0.25118864315095807	0.7042119186856028
264.0	1.638960232339E12	polynomial	15.848931924611136	0.06309573444801932	0.6808458646616542
269.0	1.638960232826E12	radial	15.848931924611136	0.25118864315095807	0.739124895572264
266.0	1.638960234988E12	polynomial	15.848931924611136	0.001	0.7619465329991647
248.0	1.638960237644E12	polynomial	1000.0	0.0039810717055349725	0.6562935115566695
256.0	1.63896023831E12	dot	63.095734448019314	0.06309573444801932	0.7376343636869954
274.0	1.638960239511E12	radial	63.095734448019314	0.06309573444801932	0.6907101086048455
250.0	1.638960247487E12	dot	1000.0	0.25118864315095807	0.6039738234475077
276.0	1.638960249845E12	radial	1000.0	0.25118864315095807	0.726441798941799
257.0	1.638960257043E12	dot	251.1886431509581	0.06309573444801932	0.6147382344750766
