# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	rounds	booster	sample_type	normalize_type	learning_type	max_depth	feature_selector	top_k	updater	AUC
331.0	13495.0	1.0	DART	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
335.0	9937.0	1.0	DART	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
339.0	9881.0	70.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
338.0	9908.0	60.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
337.0	9942.0	51.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
340.0	12452.0	60.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
342.0	12201.0	41.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
336.0	20885.0	11.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	shotgun	true
343.0	15000.0	11.0	linear booster	uniform	tree	0.0	6.0	thrifty	15.0	coord_descent	true
341.0	18915.0	80.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
344.0	14288.0	90.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
346.0	16180.0	11.0	DART	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
349.0	15065.0	60.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
347.0	15106.0	80.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
350.0	14575.0	70.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
345.0	21271.0	11.0	DART	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
348.0	21431.0	70.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
351.0	15279.0	51.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
352.0	16716.0	21.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	shotgun	true
355.0	14144.0	100.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
354.0	15403.0	90.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
358.0	13632.0	90.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
357.0	13776.0	70.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
353.0	19325.0	21.0	linear booster	uniform	tree	0.0	6.0	thrifty	15.0	coord_descent	true
359.0	13383.0	80.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
360.0	13705.0	21.0	DART	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
361.0	14026.0	80.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
362.0	13417.0	60.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
356.0	24301.0	21.0	DART	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
